id,name,pagerank
434,9 Ave & W 18 St,1.311188013668881
388,W 26 St & 10 Ave,1.3008464566955102
363,West Thames St,1.299606185697632
241,DeKalb Ave & S Portland Ave,1.2913690869107615
2008,Little West St & 1 Pl,1.2911231631844082
3382,Carroll St & Smith St,1.2713585736637527
335,Washington Pl & Broadway,1.2679912906157036
3118,McGuinness Blvd & Eagle St,1.267363026419355
355,Bayard St & Baxter St,1.2662067445596585
487,E 20 St & FDR Drive,1.246447562803866
511,E 14 St & Avenue B,1.246391669229662
495,W 47 St & 10 Ave,1.2426054177978414
3115,India St & Manhattan Ave,1.240783726306162
3255,8 Ave & W 31 St,1.2208830472065517
522,E 51 St & Lexington Ave,1.218937500131855
470,W 20 St & 8 Ave,1.2179498631881878
377,6 Ave & Canal St,1.2161848702735103
3383,Cathedral Pkwy & Broadway,1.2149199336002865
257,Lispenard St & Broadway,1.2011159735885744
386,Centre St & Worth St,1.1994265130892199
3282,5 Ave & E 88 St,1.1940124329848398
456,E 53 St & Madison Ave,1.1928398951467376
3285,W 87 St  & Amsterdam Ave,1.1867987406048448
3285,W 87 St & Amsterdam Ave,1.1867987406048448
416,Cumberland St & Lafayette Ave,1.1859706720655823
344,Monroe St & Bedford Ave,1.179756471720865
3116,Huron St & Franklin St,1.1793985685559158
174,E 25 St & 1 Ave,1.1787915612574624
325,E 19 St & 3 Ave,1.1750225825889453
321,Cadman Plaza E & Red Cross Pl,1.1734339105931222
346,Bank St & Hudson St,1.168135086706001
480,W 53 St & 10 Ave,1.1676406312266332
303,Mercer St & Spring St,1.1646036021867028
3064,Myrtle Ave & Lewis Ave,1.161255733714118
3242,Schermerhorn St & Court St,1.1569930439797063
2012,E 27 St & 1 Ave,1.1562529910571528
2010,Grand St & Greene St,1.150728806657996
353,S Portland Ave & Hanson Pl,1.1494468727490637
3373,3 St & 3 Ave,1.1469279663477665
3416,7 Ave & Park Pl,1.1462760614905374
3233,E 48 St & 5 Ave,1.1459546100313742
3305,E 91 St & 2 Ave,1.1359185306773136
455,1 Ave & E 44 St,1.135858517758941
354,Emerson Pl & Myrtle Ave,1.1292173621400774
3197,Hs Don't Use,1.1240196237250948
3346,Berkeley Pl & 7 Ave,1.1231857981331421
228,E 48 St & 3 Ave,1.1166309692149343
415,Pearl St & Hanover Square,1.115231414090032
309,Murray St & West St,1.113833249081261
3351,E 102 St & 1 Ave,1.1125555614400036
418,Front St & Gold St,1.1056679388779789
3602,31 Ave & 34 St,1.0888640191031576
3170,W 84 St & Columbus Ave,1.087961969498464
3488,8D QC Station 01,1.0864802442910122
394,E 9 St & Avenue C,1.0849137998456826
