id,name,ratio
462,W 22 St & 10 Ave,1.0198180595013133
3115,India St & Manhattan Ave,1.0122596728477273
2009,Catherine St & Monroe St,1.012197314378172
305,E 58 St & 3 Ave,1.012056673175605
3258,W 27 St & 10 Ave,1.0119652564405577
3318,2 Ave & E 96 St,1.011938475206841
3636,Expansion Warehouse 333 Johnson Ave,2.090909090909091
3468,NYCBS Depot - STY - Garage 4,2.0430622009569377
3446,NYCBS Depot - STY - Valet Scan,2.0
3385,2 Ave & E 105 St,2.0
3543,Morningside Dr & Amsterdam Ave,2.0
3631,Crown St & Bedford Ave,2.0
218,Gallatin Pl & Livingston St,1.1152508238740388
492,W 33 St & 7 Ave,1.1124206097173706
3330,Henry St & Bay St,1.1122625215889466
3644,Van Dyke St & Van Brunt St,1.1074235807860262
398,Atlantic Ave & Furman St,1.099439954178069
3550,Convent Ave & W 129 St,1.0975609756097562
414,Pearl St & Anchorage Pl,1.0969567426458995
3604,Rogers Ave & Sterling St,1.0954545454545455
3498,Pleasant Ave & E 120 St,1.085987261146497
225,W 14 St & The High Line,1.085399425410574
304,Broadway & Battery Pl,1.0850148476292474
520,W 52 St & 5 Ave,1.08477651815162
343,Clinton Ave & Flushing Ave,1.0839360201662516
3116,Huron St & Franklin St,1.0068192203592394
212,W 16 St & The High Line,1.0068139136793472
417,Barclay St & Church St,1.0067243425714067
2012,E 27 St & 1 Ave,1.0066796740502697
3388,President St & Henry St,1.015006821282401
3510,Adam Clayton Powell Blvd & W 123 St,1.014946962391514
346,Bank St & Hudson St,1.0148898383609595
3377,Carroll St & Bond St,1.0148757276171116
3332,Degraw St & Hoyt St,1.014661183622385
494,W 26 St & 8 Ave,1.0066125749440509
3489,Gold St & Frankfort St,1.0063947078280044
72,W 52 St & 11 Ave,1.0062560890744607
461,E 20 St & 2 Ave,1.006193745827384
3476,Norman Ave & Leonard St,1.0061113626075147
253,W 13 St & 5 Ave,1.005473958913483
531,Forsyth St & Broome St,1.005431971029488
3179,Park Ave & Marcus Garvey Blvd,1.0053260167850226
3369,E 82 St & East End Ave,1.0052940064284364
3601,Sterling St & Bedford Ave,1.0831295843520783
3609,Vernon Blvd & 31 Ave,1.081769436997319
3324,3 Ave & 14 St,1.079891057648661
2000,Front St & Washington St,1.078985008789457
3568,34 St & 35 Ave,1.0140750670241288
3556,24 St & 41 Ave,1.0140712945590995
3062,Myrtle Ave & Marcy Ave,1.014061478090255
308,St James Pl & Oliver St,1.0140342223631515
3513,21 St & Hoyt Ave S,1.0109170305676856
3511,Adam Clayton Powell Blvd & W 115 St,1.0108108108108107
228,E 48 St & 3 Ave,1.0108035350583569
483,E 12 St & 3 Ave,1.0107679057750052
3242,Schermerhorn St & Court St,1.010717230008244
3107,Bedford Ave & Nassau Ave,1.0076486553170492
3553,Frederick Douglass Blvd & W 112 St,1.0075931891394385
280,E 10 St & 5 Ave,1.0074548160134071
3404,7 St & 5 Ave,1.0074119827053736
3119,Vernon Blvd & 50 Ave,1.0072189689929922
3464,W 37 St & Broadway,1.0041277164016025
3254,Soissons Landing,1.0040383978814962
546,E 30 St & Park Ave S,1.0040369371578002
3309,E 97 St & 3 Ave,1.0037804076265615
3182,Yankee Ferry Terminal,1.0036713286713286
446,W 24 St & 7 Ave,1.0026286790487067
3046,Marcus Garvey Blvd & Macon St,1.0024959305480194
540,Lexington Ave & E 26 St,1.0023599765660407
540,Lexington Ave & E 29 St,1.0023599765660407
3155,Lexington Ave & E 63 St,1.0022926500337155
3571,Bedford Ave & Bergen St,1.0021008403361344
3246,Montague St & Clinton St,1.0018176530463865
3459,E 53 St & 3 Ave,1.001817645902928
3466,W 45 St & 6 Ave,1.0016280195362344
3235,E 41 St & Madison Ave,0.9987705119588204
335,Washington Pl & Broadway,0.9987624055520027
545,E 23 St & 1 Ave,0.9986793844969364
357,E 11 St & Broadway,0.9986692475199613
320,Church St & Leonard St,0.9986056942277691
320,Leonard St & Church St,0.9986056942277691
508,W 46 St & 11 Ave,0.9986026329337354
3325,E 95 St & 3 Ave,0.9985928705440901
146,Hudson St & Reade St,0.9984593516438168
312,Allen St & Stanton St,0.9969681900575883
312,Allen St & E Houston St,0.9969681900575883
3616,Steinway St & 28 Ave,0.9969301611665388
3130,21 St & Queens Plaza North,0.9968792666276575
3435,Grand St & Elizabeth St,0.9941272387416648
3502,Lexington Ave & E 111 St,0.9941027801179444
327,Vesey Pl & River Terrace,0.9940481647332604
359,E 47 St & Park Ave,0.9939763698276751
3560,28 St & 38 Ave,0.9937810945273632
3584,Eastern Pkwy & Franklin Ave,0.9920391916717698
3378,E 76 St & Park Ave,0.9920371927395024
3101,N 12 St & Bedford Ave,0.991969261656686
3249,Verona Pl & Fulton St,0.9916201117318436
3362,Madison Ave & E 82 St,0.985638324305521
3363,E 102 St & Park Ave,0.9854842966481921
3167,Amsterdam Ave & W 73 St,0.9852184308639974
3650,8D Mobile 01,0.9848484848484849
3549,Grand Ave & Bergen St,0.981346309813463
3572,34 Ave & 38 St,0.9812108559498957
3128,21 St & 43 Ave,0.9811023622047244
3579,Sterling Pl & Bedford Ave,0.9810901001112347
526,E 33 St & 5 Ave,0.9810729768366244
3383,Cathedral Pkwy & Broadway,0.9807510999371465
3048,Putnam Ave & Nostrand Ave,0.9802014995313965
363,West Thames St,0.9801276378787968
349,Rivington St & Ridge St,0.9796070922729896
3054,Greene Ave & Throop Ave,0.9737076208362163
3020,NYCBS Test,0.9735449735449735
3540,Morningside Ave & W 123 St,0.9730639730639731
498,Broadway & W 32 St,0.9729915631704009
3145,E 84 St & Park Ave,0.9728250381572253
3418,Plaza St West & Flatbush Ave,0.9558619683373459
314,Cadman Plaza West & Montague St,0.9556296219143839
314,Montague St & Clinton St,0.9556296219143839
3078,Broadway & Roebling St,0.9554334554334555
3056,Kosciuszko St & Nostrand Ave,0.9549093119870301
3289,W 90 St & Amsterdam Ave,0.9357242382019749
321,Cadman Plaza E & Red Cross Pl,0.9353426856771531
3050,Putnam Ave & Throop Ave,0.9346973094170403
421,Clermont Ave & Park Ave,0.9345633129811521
