,station_id,name,lat,lon
8,519,E 42 St & Vanderbilt Ave,40.7524,-73.9784
42,527,E 33 St & 2 Ave,40.744,-73.9761
318,472,E 32 St & Park Ave,40.7457,-73.9819
363,498,Broadway & W 32 St,40.7485,-73.9881
391,359,E 47 St & Park Ave,40.7551,-73.975
413,448,W 37 St & 10 Ave,40.7566,-73.9979
493,529,W 42 St & 8 Ave,40.7576,-73.991
518,527,E 33 St & 1 Ave,40.7432,-73.9743
533,477,W 41 St & 8 Ave,40.7564,-73.99
597,490,8 Ave & W 33 St,40.7516,-73.9939
621,478,11 Ave & W 41 St,40.7603,-73.9988
627,379,W 31 St & 7 Ave,40.7492,-73.9916
712,402,Broadway & E 22 St,40.7403,-73.9896
714,491,E 24 St & Park Ave S,40.741,-73.986
732,492,W 33 St & 7 Ave,40.7502,-73.9909
849,546,E 30 St & Park Ave S,40.7444,-73.983
901,519,Pershing Square N,40.7519,-73.9777
902,519,Pershing Square North,40.7519,-73.9777
